score,s1,s2
0.9069,"Workshops cover topics such as research integrity, time management and project management, teamwork, reading strategies, report writing, and presenting research. At the end of the course, students will be confident to start working on their own research projects.","To deepen the understanding of relational databases, the current industry development of database systems such as NoSQL databases will be introduced at the end of this course."
0.7567,"Demonstrate an ability to communicate in relation to an computing project in oral, written and graphical forms, with an an appreciation of the need to pitch any communication item appropriately for the audience.","Use the SQL language to define, query and manipulate a relational database."
0.8583,"Demonstrate an ability to communicate in relation to an computing project in oral, written and graphical forms, with an an appreciation of the need to pitch any communication item appropriately for the audience.",Apply conceptual database modelling methods such as entity-relationship model to design a relational database.
0.8690,"Demonstrate an ability to communicate in relation to an computing project in oral, written and graphical forms, with an an appreciation of the need to pitch any communication item appropriately for the audience.","Understand query processing and optimization, transaction and security management in a relational database management system."
0.8730,"Demonstrate an ability to communicate in relation to an computing project in oral, written and graphical forms, with an an appreciation of the need to pitch any communication item appropriately for the audience.","Understand the state of the art of database management systems, and big data management challenges (Amazon's Dynamo, Google's BigTable, MongoDB and MapReduce)."
0.8753,"Demonstrate an ability to communicate in relation to an computing project in oral, written and graphical forms, with an an appreciation of the need to pitch any communication item appropriately for the audience.",This course is an introduction to relational databases and the general skills for designing and using them.
0.8796,"Demonstrate an ability to communicate in relation to an computing project in oral, written and graphical forms, with an an appreciation of the need to pitch any communication item appropriately for the audience.","The topics include the relational data model, SQL, entity-relationship model, functional dependencies, (de-)normalisation, relational algebra, query processing and optimisation, database transactions and security."
0.8836,"Demonstrate an ability to communicate in relation to an computing project in oral, written and graphical forms, with an an appreciation of the need to pitch any communication item appropriately for the audience.",Describe the basic concepts of the relational model and understand its mathematical foundation;
0.8976,"Demonstrate an ability to communicate in relation to an computing project in oral, written and graphical forms, with an an appreciation of the need to pitch any communication item appropriately for the audience.",Apply database design methods on functional dependencies and normal forms to evaluate the quality of a relational database design.
0.9091,"Demonstrate an ability to communicate in relation to an computing project in oral, written and graphical forms, with an an appreciation of the need to pitch any communication item appropriately for the audience.","To deepen the understanding of relational databases, the current industry development of database systems such as NoSQL databases will be introduced at the end of this course."
0.7815,This includes demonstrated skills in the writing of abstracts and research papers.,"Use the SQL language to define, query and manipulate a relational database."
0.8691,This includes demonstrated skills in the writing of abstracts and research papers.,Apply conceptual database modelling methods such as entity-relationship model to design a relational database.
0.8762,This includes demonstrated skills in the writing of abstracts and research papers.,"Understand the state of the art of database management systems, and big data management challenges (Amazon's Dynamo, Google's BigTable, MongoDB and MapReduce)."
0.8779,This includes demonstrated skills in the writing of abstracts and research papers.,"The topics include the relational data model, SQL, entity-relationship model, functional dependencies, (de-)normalisation, relational algebra, query processing and optimisation, database transactions and security."
0.8805,This includes demonstrated skills in the writing of abstracts and research papers.,"Understand query processing and optimization, transaction and security management in a relational database management system."
0.8862,This includes demonstrated skills in the writing of abstracts and research papers.,Describe the basic concepts of the relational model and understand its mathematical foundation;
0.9006,This includes demonstrated skills in the writing of abstracts and research papers.,Apply database design methods on functional dependencies and normal forms to evaluate the quality of a relational database design.
0.9071,This includes demonstrated skills in the writing of abstracts and research papers.,This course is an introduction to relational databases and the general skills for designing and using them.
0.9106,This includes demonstrated skills in the writing of abstracts and research papers.,"To deepen the understanding of relational databases, the current industry development of database systems such as NoSQL databases will be introduced at the end of this course."
0.7489,Demonstrate an improved ability to use an active approach to learning and to undertake reflective professional practice.,"Use the SQL language to define, query and manipulate a relational database."
0.8342,Demonstrate an improved ability to use an active approach to learning and to undertake reflective professional practice.,"Understand query processing and optimization, transaction and security management in a relational database management system."
0.8348,Demonstrate an improved ability to use an active approach to learning and to undertake reflective professional practice.,Apply conceptual database modelling methods such as entity-relationship model to design a relational database.
0.8425,Demonstrate an improved ability to use an active approach to learning and to undertake reflective professional practice.,"The topics include the relational data model, SQL, entity-relationship model, functional dependencies, (de-)normalisation, relational algebra, query processing and optimisation, database transactions and security."
0.8447,Demonstrate an improved ability to use an active approach to learning and to undertake reflective professional practice.,"Understand the state of the art of database management systems, and big data management challenges (Amazon's Dynamo, Google's BigTable, MongoDB and MapReduce)."
0.8557,Demonstrate an improved ability to use an active approach to learning and to undertake reflective professional practice.,Describe the basic concepts of the relational model and understand its mathematical foundation;
0.8580,Demonstrate an improved ability to use an active approach to learning and to undertake reflective professional practice.,This course is an introduction to relational databases and the general skills for designing and using them.
0.8638,Demonstrate an improved ability to use an active approach to learning and to undertake reflective professional practice.,Apply database design methods on functional dependencies and normal forms to evaluate the quality of a relational database design.
0.8733,Demonstrate an improved ability to use an active approach to learning and to undertake reflective professional practice.,"To deepen the understanding of relational databases, the current industry development of database systems such as NoSQL databases will be introduced at the end of this course."
0.7574,Demonstrate an awareness of the existence of technological choices; and make appropriate choices based on a consideration of design criteria.,"Use the SQL language to define, query and manipulate a relational database."
0.8542,Demonstrate an awareness of the existence of technological choices; and make appropriate choices based on a consideration of design criteria.,"Understand query processing and optimization, transaction and security management in a relational database management system."
0.8604,Demonstrate an awareness of the existence of technological choices; and make appropriate choices based on a consideration of design criteria.,Apply conceptual database modelling methods such as entity-relationship model to design a relational database.
0.8627,Demonstrate an awareness of the existence of technological choices; and make appropriate choices based on a consideration of design criteria.,"Understand the state of the art of database management systems, and big data management challenges (Amazon's Dynamo, Google's BigTable, MongoDB and MapReduce)."
0.8704,Demonstrate an awareness of the existence of technological choices; and make appropriate choices based on a consideration of design criteria.,"The topics include the relational data model, SQL, entity-relationship model, functional dependencies, (de-)normalisation, relational algebra, query processing and optimisation, database transactions and security."
0.8721,Demonstrate an awareness of the existence of technological choices; and make appropriate choices based on a consideration of design criteria.,This course is an introduction to relational databases and the general skills for designing and using them.
0.8950,Demonstrate an awareness of the existence of technological choices; and make appropriate choices based on a consideration of design criteria.,Describe the basic concepts of the relational model and understand its mathematical foundation;
0.8959,Demonstrate an awareness of the existence of technological choices; and make appropriate choices based on a consideration of design criteria.,Apply database design methods on functional dependencies and normal forms to evaluate the quality of a relational database design.
0.8972,Demonstrate an awareness of the existence of technological choices; and make appropriate choices based on a consideration of design criteria.,"To deepen the understanding of relational databases, the current industry development of database systems such as NoSQL databases will be introduced at the end of this course."
0.7603,Demonstrate an ability to undertake and manage a research project of significant size and scope.,"Use the SQL language to define, query and manipulate a relational database."
0.8318,Demonstrate an ability to undertake and manage a research project of significant size and scope.,Apply conceptual database modelling methods such as entity-relationship model to design a relational database.
0.8337,Demonstrate an ability to undertake and manage a research project of significant size and scope.,"The topics include the relational data model, SQL, entity-relationship model, functional dependencies, (de-)normalisation, relational algebra, query processing and optimisation, database transactions and security."
0.8357,Demonstrate an ability to undertake and manage a research project of significant size and scope.,"Understand query processing and optimization, transaction and security management in a relational database management system."
0.8371,Demonstrate an ability to undertake and manage a research project of significant size and scope.,"Understand the state of the art of database management systems, and big data management challenges (Amazon's Dynamo, Google's BigTable, MongoDB and MapReduce)."
0.8532,Demonstrate an ability to undertake and manage a research project of significant size and scope.,Describe the basic concepts of the relational model and understand its mathematical foundation;
0.8540,Demonstrate an ability to undertake and manage a research project of significant size and scope.,This course is an introduction to relational databases and the general skills for designing and using them.
0.8576,Demonstrate an ability to undertake and manage a research project of significant size and scope.,Apply database design methods on functional dependencies and normal forms to evaluate the quality of a relational database design.
0.8624,Demonstrate an ability to undertake and manage a research project of significant size and scope.,"To deepen the understanding of relational databases, the current industry development of database systems such as NoSQL databases will be introduced at the end of this course."
0.7870,Understanding of the process of identifying and formulating research problems.,"Use the SQL language to define, query and manipulate a relational database."
0.8668,Understanding of the process of identifying and formulating research problems.,"Understand query processing and optimization, transaction and security management in a relational database management system."
0.8752,Understanding of the process of identifying and formulating research problems.,"Understand the state of the art of database management systems, and big data management challenges (Amazon's Dynamo, Google's BigTable, MongoDB and MapReduce)."
0.8753,Understanding of the process of identifying and formulating research problems.,Apply conceptual database modelling methods such as entity-relationship model to design a relational database.
0.8759,Understanding of the process of identifying and formulating research problems.,"The topics include the relational data model, SQL, entity-relationship model, functional dependencies, (de-)normalisation, relational algebra, query processing and optimisation, database transactions and security."
0.8928,Understanding of the process of identifying and formulating research problems.,Apply database design methods on functional dependencies and normal forms to evaluate the quality of a relational database design.
0.8945,Understanding of the process of identifying and formulating research problems.,This course is an introduction to relational databases and the general skills for designing and using them.
0.9006,Understanding of the process of identifying and formulating research problems.,"To deepen the understanding of relational databases, the current industry development of database systems such as NoSQL databases will be introduced at the end of this course."
0.9071,Understanding of the process of identifying and formulating research problems.,Describe the basic concepts of the relational model and understand its mathematical foundation;
0.7628,Ability to carry out literature searches and some ability to critically evaluate literature.,"Use the SQL language to define, query and manipulate a relational database."
0.8601,Ability to carry out literature searches and some ability to critically evaluate literature.,Apply conceptual database modelling methods such as entity-relationship model to design a relational database.
0.8659,Ability to carry out literature searches and some ability to critically evaluate literature.,This course is an introduction to relational databases and the general skills for designing and using them.
0.8690,Ability to carry out literature searches and some ability to critically evaluate literature.,Describe the basic concepts of the relational model and understand its mathematical foundation;
0.8699,Ability to carry out literature searches and some ability to critically evaluate literature.,"Understand query processing and optimization, transaction and security management in a relational database management system."
0.8740,Ability to carry out literature searches and some ability to critically evaluate literature.,"The topics include the relational data model, SQL, entity-relationship model, functional dependencies, (de-)normalisation, relational algebra, query processing and optimisation, database transactions and security."
0.8796,Ability to carry out literature searches and some ability to critically evaluate literature.,"Understand the state of the art of database management systems, and big data management challenges (Amazon's Dynamo, Google's BigTable, MongoDB and MapReduce)."
0.8923,Ability to carry out literature searches and some ability to critically evaluate literature.,"To deepen the understanding of relational databases, the current industry development of database systems such as NoSQL databases will be introduced at the end of this course."
0.8958,Ability to carry out literature searches and some ability to critically evaluate literature.,Apply database design methods on functional dependencies and normal forms to evaluate the quality of a relational database design.
0.7995,"Design and conduct experiments, devise appropriate measurements, analyze and interpret data and form reliable conclusions.","Use the SQL language to define, query and manipulate a relational database."
0.8425,"Design and conduct experiments, devise appropriate measurements, analyze and interpret data and form reliable conclusions.","Understand the state of the art of database management systems, and big data management challenges (Amazon's Dynamo, Google's BigTable, MongoDB and MapReduce)."
0.8461,"Design and conduct experiments, devise appropriate measurements, analyze and interpret data and form reliable conclusions.","Understand query processing and optimization, transaction and security management in a relational database management system."
0.8544,"Design and conduct experiments, devise appropriate measurements, analyze and interpret data and form reliable conclusions.",Apply conceptual database modelling methods such as entity-relationship model to design a relational database.
0.8563,"Design and conduct experiments, devise appropriate measurements, analyze and interpret data and form reliable conclusions.",This course is an introduction to relational databases and the general skills for designing and using them.
0.8640,"Design and conduct experiments, devise appropriate measurements, analyze and interpret data and form reliable conclusions.","To deepen the understanding of relational databases, the current industry development of database systems such as NoSQL databases will be introduced at the end of this course."
0.8694,"Design and conduct experiments, devise appropriate measurements, analyze and interpret data and form reliable conclusions.","The topics include the relational data model, SQL, entity-relationship model, functional dependencies, (de-)normalisation, relational algebra, query processing and optimisation, database transactions and security."
0.8782,"Design and conduct experiments, devise appropriate measurements, analyze and interpret data and form reliable conclusions.",Apply database design methods on functional dependencies and normal forms to evaluate the quality of a relational database design.
0.8794,"Design and conduct experiments, devise appropriate measurements, analyze and interpret data and form reliable conclusions.",Describe the basic concepts of the relational model and understand its mathematical foundation;
0.7435,Demonstrate awareness of the importance of documenting all aspects of the development of an computing project of significant magnitude.,"Use the SQL language to define, query and manipulate a relational database."
0.8413,Demonstrate awareness of the importance of documenting all aspects of the development of an computing project of significant magnitude.,Apply conceptual database modelling methods such as entity-relationship model to design a relational database.
0.8518,Demonstrate awareness of the importance of documenting all aspects of the development of an computing project of significant magnitude.,"Understand query processing and optimization, transaction and security management in a relational database management system."
0.8577,Demonstrate awareness of the importance of documenting all aspects of the development of an computing project of significant magnitude.,"The topics include the relational data model, SQL, entity-relationship model, functional dependencies, (de-)normalisation, relational algebra, query processing and optimisation, database transactions and security."
0.8726,Demonstrate awareness of the importance of documenting all aspects of the development of an computing project of significant magnitude.,This course is an introduction to relational databases and the general skills for designing and using them.
0.8728,Demonstrate awareness of the importance of documenting all aspects of the development of an computing project of significant magnitude.,"Understand the state of the art of database management systems, and big data management challenges (Amazon's Dynamo, Google's BigTable, MongoDB and MapReduce)."
0.8788,Demonstrate awareness of the importance of documenting all aspects of the development of an computing project of significant magnitude.,Describe the basic concepts of the relational model and understand its mathematical foundation;
0.8808,Demonstrate awareness of the importance of documenting all aspects of the development of an computing project of significant magnitude.,Apply database design methods on functional dependencies and normal forms to evaluate the quality of a relational database design.
0.9009,Demonstrate awareness of the importance of documenting all aspects of the development of an computing project of significant magnitude.,"To deepen the understanding of relational databases, the current industry development of database systems such as NoSQL databases will be introduced at the end of this course."
